batch_id,run_id,participant_set,project_set,weight_profile,method,is_main_method,feasible,objective_score,mean_team_score,min_team_score,max_team_score,fairness_deviation,assigned_count,required_slots,sample_count,feasible_count,objective_score_std,objective_score_min,objective_score_max,mean_team_score_std,mean_team_score_min,mean_team_score_max,min_team_score_std,min_team_score_min,min_team_score_max,max_team_score_std,max_team_score_min,max_team_score_max,fairness_deviation_std,fairness_deviation_min,fairness_deviation_max,participant_count,project_count,total_runtime_seconds
ex-all-all-def,participants_080-projects_a-weights_default,080,a,default,thesis,True,True,3.3951269230836187,0.8559346135862419,0.7988245516463333,0.9132706766917293,0.11444612504539609,16,16,1,1,,,,,,,,,,,,,,,,80,4,4.99255889000051
ex-all-all-def,participants_080-projects_a-weights_default,080,a,default,random,False,True,1.5700699217303749,0.4090145824364739,0.28107086797461533,0.5450245000366982,0.26395363206208294,16,16,30,30,0.22775762909892244,1.1173777244029024,2.1475125775462147,0.056300094980856724,0.2857044818398338,0.5487333695172838,0.07600470388909585,0.13674800904192957,0.41964909623775337,0.07414668023630494,0.3328606257544926,0.6834116381937798,0.09012285590412471,0.09744825589795231,0.4425952167979544,80,4,4.99255889000051
ex-all-all-def,participants_080-projects_a-weights_default,080,a,default,greedy_fit,False,True,2.6718224914837236,0.6783146617565076,0.5855829173975746,0.7513275395668011,0.16574462216922647,16,16,1,1,,,,,,,,,,,,,,,,80,4,4.99255889000051
ex-all-all-def,participants_080-projects_a-weights_default,080,a,default,machado_k_rounds,False,True,2.50998101500106,0.6376659925438667,0.5855829173975746,0.7483147380952014,0.16273182069762682,16,16,1,1,,,,,,,,,,,,,,,,80,4,4.99255889000051
ex-all-all-def,participants_080-projects_a-weights_default,080,a,default,thesis_no_li,False,True,3.2517557390891483,0.8232329109221348,0.7478608452950558,0.9125644636926196,0.16470361839756376,16,16,1,1,,,,,,,,,,,,,,,,80,4,4.99255889000051
ex-all-all-def,participants_080-projects_a-weights_default,080,a,default,machado_k_rounds_li,False,True,3.37918409735191,0.8528533747452457,0.7843530701754385,0.9132706766917293,0.1289176065162908,16,16,1,1,,,,,,,,,,,,,,,,80,4,4.99255889000051
ex-all-all-def,participants_080-projects_b-weights_default,080,b,default,thesis,True,True,3.2771827515437373,0.8295799948904999,0.7359680052201838,0.900516917293233,0.16454891207304922,16,16,1,1,,,,,,,,,,,,,,,,80,4,6.077124793999246
ex-all-all-def,participants_080-projects_b-weights_default,080,b,default,random,False,True,1.4548521203591434,0.3792941876996318,0.25177277066545656,0.5010712924229918,0.2492985217575352,16,16,30,30,0.2595065970743636,0.8613536865229312,1.95672574278895,0.06572564320718556,0.22624921209483595,0.5092682217988411,0.07759763275233005,0.07288224717679107,0.4322295502149875,0.09605017640501318,0.34118139901034633,0.7170126995408478,0.11055058685070229,0.11820818024678395,0.5175952167979543,80,4,6.077124793999246
ex-all-all-def,participants_080-projects_b-weights_default,080,b,default,greedy_fit,False,True,2.4039725441381132,0.6066141426844347,0.5679181561016251,0.6578542625001281,0.08993610639850302,16,16,1,1,,,,,,,,,,,,,,,,80,4,6.077124793999246
ex-all-all-def,participants_080-projects_b-weights_default,080,b,default,machado_k_rounds,False,True,2.4697777322480405,0.6230654397119165,0.5679181561016251,0.6578542625001281,0.08993610639850302,16,16,1,1,,,,,,,,,,,,,,,,80,4,6.077124793999246
ex-all-all-def,participants_080-projects_b-weights_default,080,b,default,thesis_no_li,False,True,3.2063917206251578,0.8138993962435066,0.7003120901346647,0.8971355475301395,0.1968234573954748,16,16,1,1,,,,,,,,,,,,,,,,80,4,6.077124793999246
ex-all-all-def,participants_080-projects_b-weights_default,080,b,default,machado_k_rounds_li,False,True,3.267100721869171,0.8297958204919085,0.7359680052201838,0.9442982456140352,0.2083302403938514,16,16,1,1,,,,,,,,,,,,,,,,80,4,6.077124793999246
ex-all-all-def,participants_080-projects_c-weights_default,080,c,default,thesis,True,True,3.916949972093458,0.7946756815928029,0.684245951417004,0.9099596948992312,0.22571374348222728,19,19,1,1,,,,,,,,,,,,,,,,80,5,7.861542517997805
ex-all-all-def,participants_080-projects_c-weights_default,080,c,default,random,False,True,1.8800151960436449,0.39397113445554116,0.20880356389801766,0.5681654688342607,0.35936190493624304,19,19,30,30,0.2434166752017003,1.3777474262145213,2.411394617388563,0.04876420031527071,0.2931561860813258,0.49391320559909785,0.06565813722535915,0.10739792716813877,0.34559465786236404,0.0652133169108663,0.4539055866989443,0.7306384449487189,0.10878652082375306,0.1858187470361014,0.6202057601729752,80,5,7.861542517997805
ex-all-all-def,participants_080-projects_c-weights_default,080,c,default,greedy_fit,False,True,3.317399114766992,0.6781730482680163,0.5492501227923748,0.843114629084734,0.29386450629235916,19,19,1,1,,,,,,,,,,,,,,,,80,5,7.861542517997805
ex-all-all-def,participants_080-projects_c-weights_default,080,c,default,machado_k_rounds,False,True,3.3665627167470253,0.6882662908895435,0.5440396782819642,0.843114629084734,0.2990749508027698,19,19,1,1,,,,,,,,,,,,,,,,80,5,7.861542517997805
ex-all-all-def,participants_080-projects_c-weights_default,080,c,default,thesis_no_li,False,True,3.8173632312057157,0.7769318265818459,0.6407760880851757,0.9099596948992312,0.2691836068140555,19,19,1,1,,,,,,,,,,,,,,,,80,5,7.861542517997805
ex-all-all-def,participants_080-projects_c-weights_default,080,c,default,machado_k_rounds_li,False,True,3.9177587983736926,0.7948374468488499,0.684245951417004,0.9099596948992312,0.22571374348222728,19,19,1,1,,,,,,,,,,,,,,,,80,5,7.861542517997805
ex-all-all-def,participants_080-projects_d-weights_default,080,d,default,thesis,True,True,4.678218247774307,0.7889468303407344,0.6767177618143683,0.8985686988947659,0.2218509370803976,24,24,1,1,,,,,,,,,,,,,,,,80,6,17.03808071399908
ex-all-all-def,participants_080-projects_d-weights_default,080,d,default,random,False,True,2.268295659388397,0.3910585877704998,0.23455600449176706,0.5467794734301737,0.31222346893840663,24,24,30,30,0.24138540005135858,1.8221371367324257,2.8319731864467483,0.03998148242769399,0.3066689770228675,0.48621451663526527,0.06774269173336951,0.09747745906427258,0.365347852463402,0.07416264726392525,0.3513101503400683,0.744658019122097,0.11297857031345011,0.07150690161911782,0.5957002186519735,80,6,17.03808071399908
ex-all-all-def,participants_080-projects_d-weights_default,080,d,default,greedy_fit,False,True,3.621349505420258,0.6117063675910425,0.5279314412145863,0.7234862417185731,0.19555480050398677,24,24,1,1,,,,,,,,,,,,,,,,80,6,17.03808071399908
ex-all-all-def,participants_080-projects_d-weights_default,080,d,default,machado_k_rounds,False,True,3.748408549719757,0.6328828749742922,0.5279314412145863,0.7234862417185731,0.19555480050398677,24,24,1,1,,,,,,,,,,,,,,,,80,6,17.03808071399908
ex-all-all-def,participants_080-projects_d-weights_default,080,d,default,thesis_no_li,False,True,4.510000402514929,0.7600007620299234,0.6539515772826221,0.8539682559410703,0.2000166786584482,24,24,1,1,,,,,,,,,,,,,,,,80,6,17.03808071399908
ex-all-all-def,participants_080-projects_d-weights_default,080,d,default,machado_k_rounds_li,False,True,4.602355493065807,0.7745632614171389,0.6790805717775044,0.8591768735256091,0.18009630174810476,24,24,1,1,,,,,,,,,,,,,,,,80,6,17.03808071399908
ex-all-all-def,participants_080-projects_e-weights_default,080,e,default,thesis,True,True,6.17515310004087,0.7790432526792994,0.6748507433715436,0.9036224289456456,0.228771685574102,34,34,1,1,,,,,,,,,,,,,,,,80,8,47.154970825999044
ex-all-all-def,participants_080-projects_e-weights_default,080,e,default,random,False,True,3.174336007043528,0.405879254573235,0.26858799244202236,0.5593801106114297,0.29079211816940725,34,34,30,30,0.266548371369644,2.71384415774082,3.8570992542628844,0.032997907127986933,0.34736581711995757,0.49299147615856903,0.05410089313516673,0.13518437018919213,0.3599131566343441,0.05003032141803629,0.4697032828512887,0.6498629963186717,0.07602571146894231,0.16289578086398387,0.4843653558450867,80,8,47.154970825999044
ex-all-all-def,participants_080-projects_e-weights_default,080,e,default,greedy_fit,False,True,4.744197936663972,0.6017090231996752,0.48730724432475536,0.7652042400584743,0.27789699573371895,34,34,1,1,,,,,,,,,,,,,,,,80,8,47.154970825999044
ex-all-all-def,participants_080-projects_e-weights_default,080,e,default,machado_k_rounds,False,True,4.457280901939421,0.568099582318517,0.41514121362361517,0.7652042400584743,0.35006302643485915,34,34,1,1,,,,,,,,,,,,,,,,80,8,47.154970825999044
ex-all-all-def,participants_080-projects_e-weights_default,080,e,default,thesis_no_li,False,True,5.83094239205383,0.7361090865037192,0.6270086201269592,0.8587298200306565,0.23172119990369722,34,34,1,1,,,,,,,,,,,,,,,,80,8,47.154970825999044
ex-all-all-def,participants_080-projects_e-weights_default,080,e,default,machado_k_rounds_li,False,True,6.115340489443656,0.7704083489314116,0.6748507433715436,0.8665559514020914,0.1917052080305478,34,34,1,1,,,,,,,,,,,,,,,,80,8,47.154970825999044
ex-all-all-def,participants_120-projects_a-weights_default,120,a,default,thesis,True,True,3.406864128451368,0.8594715523112774,0.8002673924695294,0.9243557156444965,0.1240883231749671,16,16,1,1,,,,,,,,,,,,,,,,120,4,9.971246917995813
