batch_id,run_id,participant_set,project_set,weight_profile,participant_count,project_count,required_slots,available_candidates,main_method,main_feasible,main_objective_score,main_mean_team_score,main_min_team_score,main_max_team_score,main_fairness_deviation,local_improvement_gain,accepted_swaps,accepted_replacements,best_by_objective,best_by_min_team_score,best_by_fairness,total_runtime_seconds,load_inputs_seconds,normalize_inputs_seconds,score_seconds,allocate_and_improve_seconds,compare_baselines_seconds,export_run_outputs_seconds,saved_run_dir
ex-all-all-def,participants_240-projects_b-weights_default,240,b,default,240,4,16,240,round_based_marginal_contribution_with_local_improvement,True,3.5805882855196,0.899882020732448,0.8680094381352862,0.9437686277760547,0.07575918964076855,0.05530441655266438,0,6,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,baseline_greedy_fit,6.1103778460001195,0.0015920400001050439,0.01736020299995289,0.004312846000175341,6.076790910999989,0.007546671999989485,0.0027121250000163855,runs/batches/ex-all-all-def/runs/participants_240-projects_b-weights_default
ex-all-all-def,participants_240-projects_c-weights_default,240,c,default,240,5,19,240,round_based_marginal_contribution_with_local_improvement,True,4.131981061275599,0.837156354773041,0.7159585231264114,0.9311613734848312,0.2152028503584198,0.20577529678344497,1,12,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,17.6007770300007,0.0017210880000675388,0.01767511400021249,0.005658968000261666,17.56458516900011,0.008301666000079422,0.0027476959999148676,runs/batches/ex-all-all-def/runs/participants_240-projects_c-weights_default
ex-all-all-def,participants_240-projects_d-weights_default,240,d,default,240,6,24,240,round_based_marginal_contribution_with_local_improvement,True,4.994122650695657,0.8419299381188382,0.7129672455549649,0.9427951576244532,0.22982791206948827,0.1762577248968249,2,15,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,baseline_greedy_fit,35.10774258899983,0.0016520290000698878,0.0176998580000145,0.00657587700015938,35.06864981999979,0.010210461000042415,0.0028955040002074384,runs/batches/ex-all-all-def/runs/participants_240-projects_d-weights_default
ex-all-all-def,participants_240-projects_e-weights_default,240,e,default,240,8,34,240,round_based_marginal_contribution_with_local_improvement,True,6.531043677854518,0.8220483244190621,0.7224034834714524,0.9037751534633685,0.181371669991916,0.23004377110156504,0,24,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,baseline_machado_k_rounds,89.68378014200016,0.0015982400000211783,0.017809556999964116,0.00896586799990473,89.63797270000032,0.014196949000051973,0.0031760699998812925,runs/batches/ex-all-all-def/runs/participants_240-projects_e-weights_default
ex-all-all-def,participants_480-projects_a-weights_default,480,a,default,480,4,16,480,round_based_marginal_contribution_with_local_improvement,True,3.674977989878138,0.9219314268851883,0.896842105263158,0.9478329759136195,0.050990870650461484,0.12639638069940728,0,9,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,17.510505845998978,0.0048781770001369296,0.03411721799966472,0.009165382999981375,17.444055976999607,0.014476948999799788,0.003727041999809444,runs/batches/ex-all-all-def/runs/participants_480-projects_a-weights_default
ex-all-all-def,participants_480-projects_b-weights_default,480,b,default,480,4,16,480,round_based_marginal_contribution_with_local_improvement,True,3.665495595538374,0.9211455317884222,0.8794581277640489,0.9558042542253069,0.07634612646125805,0.07867411500445742,0,8,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,16.04091777099984,0.003066942000259587,0.0347597929994663,0.008680771000399545,15.97587688099975,0.015159186999881058,0.0032889289996091975,runs/batches/ex-all-all-def/runs/participants_480-projects_b-weights_default
ex-all-all-def,participants_480-projects_c-weights_default,480,c,default,480,5,19,480,round_based_marginal_contribution_with_local_improvement,True,4.18828019719598,0.8479705899615886,0.7378308713856823,0.9441218818335323,0.20629101044785003,0.11156430106669113,1,10,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,31.226826005000476,0.00307419100045081,0.03490825000062614,0.011086821000390046,31.15795904300012,0.016307193999637093,0.0034050169997499324,runs/batches/ex-all-all-def/runs/participants_480-projects_c-weights_default
ex-all-all-def,participants_480-projects_d-weights_default,480,d,default,480,6,24,480,round_based_marginal_contribution_with_local_improvement,True,5.124439657072862,0.8614234086196414,0.7682587466293469,0.9446619252092936,0.1764031785799467,0.042331758038932854,0,13,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,baseline_machado_k_rounds,55.273734184000205,0.0030579209997085854,0.034710162000010314,0.013006936000238056,55.19903940599943,0.020142356000178552,0.0034795060000760714,runs/batches/ex-all-all-def/runs/participants_480-projects_d-weights_default
ex-all-all-def,participants_480-projects_e-weights_default,480,e,default,480,8,34,480,round_based_marginal_contribution_with_local_improvement,True,6.629290306379799,0.8351193661513441,0.7009941520467836,0.9076526433705968,0.2066584913238132,0.11504795478691854,2,16,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,baseline_machado_k_rounds,142.59036363900123,0.0031128010004977114,0.0349087309996321,0.0179573330005951,142.50180564499988,0.028786337999918032,0.003699922999658156,runs/batches/ex-all-all-def/runs/participants_480-projects_e-weights_default
ex-all-all-def,participants_1200-projects_a-weights_default,1200,a,default,1200,4,16,1200,round_based_marginal_contribution_with_local_improvement,True,3.6966326732354413,0.9283373632262215,0.8891782029596474,0.9560453216374268,0.06686711867777939,0.1342806892274928,0,7,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,37.75210451300063,0.009036723999997776,0.085106588000599,0.027627252000456792,37.58683916799964,0.037967061000017566,0.005359622000469244,runs/batches/ex-all-all-def/runs/participants_1200-projects_a-weights_default
ex-all-all-def,participants_1200-projects_b-weights_default,1200,b,default,1200,4,16,1200,round_based_marginal_contribution_with_local_improvement,True,3.7202661763333262,0.9327503626378482,0.9114051855003319,0.9543462823725981,0.042941096872266216,0.04402327501185299,0,9,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,45.16286491799838,0.007509074999688892,0.086181853999733,0.02134816200032219,45.00585554499958,0.03650607100007619,0.00529676299993298,runs/batches/ex-all-all-def/runs/participants_1200-projects_b-weights_default
ex-all-all-def,participants_1200-projects_c-weights_default,1200,c,default,1200,5,19,1200,round_based_marginal_contribution_with_local_improvement,True,4.223552656967271,0.8545337428670596,0.7513938338493291,0.94785806332144,0.19646422947211084,0.06323230878662134,0,11,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,78.2118700230003,0.007541805000073509,0.0877649450003446,0.029636625999955868,78.03793171500001,0.043722678999984055,0.005108366000058595,runs/batches/ex-all-all-def/runs/participants_1200-projects_c-weights_default
ex-all-all-def,participants_1200-projects_d-weights_default,1200,d,default,1200,6,24,1200,round_based_marginal_contribution_with_local_improvement,True,5.190445198077851,0.8727613076917062,0.7814099587203301,0.9659005510098776,0.18449059228954745,0.041484436378672385,0,12,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,131.35763827600022,0.007432645999870147,0.08729512099944259,0.035205345000576926,131.16654306300006,0.0553284640000129,0.005650729000080901,runs/batches/ex-all-all-def/runs/participants_1200-projects_d-weights_default
ex-all-all-def,participants_1200-projects_e-weights_default,1200,e,default,1200,8,34,1200,round_based_marginal_contribution_with_local_improvement,True,6.786152254759917,0.8526984104129373,0.7786695906432748,0.9204097048175995,0.14174011417432475,0.17739960144999056,0,26,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,526.2018495229995,0.007678104000660824,0.087511027999426,0.04565096500027721,525.9752764169998,0.07950105700001586,0.005926095999711833,runs/batches/ex-all-all-def/runs/participants_1200-projects_e-weights_default
ex-all-all-def,participants_2400-projects_a-weights_default,2400,a,default,2400,4,16,2400,round_based_marginal_contribution_with_local_improvement,True,3.757472881343902,0.9431513452611935,0.9011467073480803,0.9616767061515681,0.06052999880348775,0.0848349222201481,0,10,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,baseline_greedy_fit,100.99010247599927,0.01661642999988544,0.17092981400037388,0.046333345999300946,100.66756942099983,0.07942882899988035,0.008929849000196555,runs/batches/ex-all-all-def/runs/participants_2400-projects_a-weights_default
ex-all-all-def,participants_2400-projects_b-weights_default,2400,b,default,2400,4,16,2400,round_based_marginal_contribution_with_local_improvement,True,3.8305659935609624,0.9582099217503629,0.953443677065968,0.9625384508279244,0.009094773761956443,0.030495673176166527,0,7,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,73.87605995400008,0.01564459299970622,0.17665890399985074,0.04577523200077849,73.54867207999996,0.08045828499962226,0.008550843000193709,runs/batches/ex-all-all-def/runs/participants_2400-projects_b-weights_default
ex-all-all-def,participants_2400-projects_c-weights_default,2400,c,default,2400,5,19,2400,round_based_marginal_contribution_with_local_improvement,True,4.27269778620412,0.865081585821262,0.7513938338493291,0.9622344054580897,0.21084057160876057,0.11288608544675505,0,13,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,baseline_greedy_fit,187.6614864330004,0.015069851000589551,0.17170754699964164,0.05408245899980102,187.31468019399927,0.09682138500011206,0.008818390000669751,runs/batches/ex-all-all-def/runs/participants_2400-projects_c-weights_default
ex-all-all-def,participants_2400-projects_d-weights_default,2400,d,default,2400,6,24,2400,round_based_marginal_contribution_with_local_improvement,True,5.227161212578212,0.8788806434417664,0.7814099587203301,0.9659005510098776,0.18449059228954745,0.11617807713823058,0,24,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,521.3176039400014,0.014965923000090697,0.17229621800015593,0.06472421700073028,520.9349586099997,0.12017198499961523,0.010175912000704557,runs/batches/ex-all-all-def/runs/participants_2400-projects_d-weights_default
ex-all-all-def,participants_2400-projects_e-weights_default,2400,e,default,2400,8,34,2400,round_based_marginal_contribution_with_local_improvement,True,6.923405629636916,0.8695199119180442,0.8182191054559476,0.9492337682856999,0.13101466282975238,0.13789626518258835,0,32,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,1302.4798087029985,0.015218407999782357,0.17236118799974065,0.08703019200038398,1302.0205711199997,0.17591481299950829,0.008408624999901804,runs/batches/ex-all-all-def/runs/participants_2400-projects_e-weights_default
