batch_id,run_id,participant_set,project_set,weight_profile,method,is_main_method,feasible,objective_score,mean_team_score,min_team_score,max_team_score,fairness_deviation,assigned_count,required_slots,sample_count,feasible_count,objective_score_std,objective_score_min,objective_score_max,mean_team_score_std,mean_team_score_min,mean_team_score_max,min_team_score_std,min_team_score_min,min_team_score_max,max_team_score_std,max_team_score_min,max_team_score_max,fairness_deviation_std,fairness_deviation_min,fairness_deviation_max,participant_count,project_count,total_runtime_seconds
ex-240-all-all,participants_240-projects_a-weights_balance_heavy,240,a,balance_heavy,thesis,True,True,3.5483246353767584,0.8944544668483602,0.8338815789473685,0.9518545070140979,0.11797292806672943,16,16,1,1,,,,,,,,,,,,,,,,240,4,24.217448692003018
ex-240-all-all,participants_240-projects_a-weights_balance_heavy,240,a,balance_heavy,random,False,True,1.7204088048819484,0.44676206700321647,0.3160745493051842,0.5826324018288543,0.26655785252367015,16,16,30,30,0.21445245505871904,1.3057742537592874,2.108161377991942,0.05576752349976447,0.3349026308027173,0.5536013024789658,0.06183381753491957,0.1922902393010273,0.4317272634862267,0.08990386314437795,0.4267122900095,0.76522737096079,0.106072876735719,0.08444959295570453,0.4708031868802164,240,4,24.217448692003018
ex-240-all-all,participants_240-projects_a-weights_balance_heavy,240,a,balance_heavy,greedy_fit,False,True,2.7747884185997735,0.7033524445127715,0.6211337645732701,0.7756192023785196,0.15448543780524948,16,16,1,1,,,,,,,,,,,,,,,,240,4,24.217448692003018
ex-240-all-all,participants_240-projects_a-weights_balance_heavy,240,a,balance_heavy,machado_k_rounds,False,True,2.9206833811222217,0.737315548482405,0.6613039511489258,0.7756192023785196,0.11431525122959374,16,16,1,1,,,,,,,,,,,,,,,,240,4,24.217448692003018
ex-240-all-all,participants_240-projects_a-weights_balance_heavy,240,a,balance_heavy,thesis_no_li,False,True,3.5234724693106543,0.88845339638922,0.8230562614000629,0.9444207263849672,0.12136446498490427,16,16,1,1,,,,,,,,,,,,,,,,240,4,24.217448692003018
ex-240-all-all,participants_240-projects_a-weights_balance_heavy,240,a,balance_heavy,machado_k_rounds_li,False,True,3.605668383230778,0.9050192334320283,0.8874293565511703,0.9450635585405116,0.05763420198934133,16,16,1,1,,,,,,,,,,,,,,,,240,4,24.217448692003018
ex-240-all-all,participants_240-projects_a-weights_default,240,a,default,thesis,True,True,3.576840939881124,0.9016575561323463,0.8226315789473685,0.9417887175404137,0.11915713859304522,16,16,1,1,,,,,,,,,,,,,,,,240,4,25.725408120000793
ex-240-all-all,participants_240-projects_a-weights_default,240,a,default,random,False,True,1.6874481463246607,0.4385915626172516,0.30731524840936664,0.574987664986749,0.26767241657738244,16,16,30,30,0.21549269327442566,1.275465249803128,2.0829146674656265,0.056099047371714984,0.3273861834342963,0.5477624866894921,0.061303770163730335,0.1859744498273431,0.42508252664412144,0.09074801360180033,0.4161201847463421,0.7605024956054205,0.1064137165771632,0.08313380348202032,0.4678426605644268,240,4,25.725408120000793
ex-240-all-all,participants_240-projects_a-weights_default,240,a,default,greedy_fit,False,True,2.856796519306361,0.7206895089128811,0.651010636017216,0.7548567013978695,0.10384606538065355,16,16,1,1,,,,,,,,,,,,,,,,240,4,25.725408120000793
ex-240-all-all,participants_240-projects_a-weights_default,240,a,default,machado_k_rounds,False,True,2.856796519306361,0.7206895089128811,0.651010636017216,0.7548567013978695,0.10384606538065355,16,16,1,1,,,,,,,,,,,,,,,,240,4,25.725408120000793
ex-240-all-all,participants_240-projects_a-weights_default,240,a,default,thesis_no_li,False,True,3.451965736937991,0.870712404085528,0.811806261400063,0.9353417790165461,0.12353551761648318,16,16,1,1,,,,,,,,,,,,,,,,240,4,25.725408120000793
ex-240-all-all,participants_240-projects_a-weights_default,240,a,default,machado_k_rounds_li,False,True,3.650658833035745,0.9159079377081326,0.8898970463532705,0.9417887175404137,0.05189167118714322,16,16,1,1,,,,,,,,,,,,,,,,240,4,25.725408120000793
ex-240-all-all,participants_240-projects_a-weights_role_heavy,240,a,role_heavy,thesis,True,True,3.6218049797562255,0.9127752108379639,0.8354605263157895,0.9526439806983085,0.11718345438251898,16,16,1,1,,,,,,,,,,,,,,,,240,4,22.903184678001708
ex-240-all-all,participants_240-projects_a-weights_role_heavy,240,a,role_heavy,random,False,True,1.7050157226464266,0.4430186459505849,0.31175603788305084,0.5799914825067026,0.26823544462365184,16,16,30,30,0.215360229517793,1.2927349866452331,2.084970588518258,0.055939262066227874,0.3322381571185068,0.5479269603737026,0.06291871362111998,0.1859744498273431,0.43626673717043724,0.09070964562341946,0.4184228163252895,0.7626615814871058,0.10846231127764894,0.07458117190307295,0.4727768710907426,240,4,22.903184678001708
ex-240-all-all,participants_240-projects_a-weights_role_heavy,240,a,role_heavy,greedy_fit,False,True,2.794755903725957,0.7073123167612232,0.6356318697559793,0.7736053230317225,0.13797345327574317,16,16,1,1,,,,,,,,,,,,,,,,240,4,22.903184678001708
ex-240-all-all,participants_240-projects_a-weights_role_heavy,240,a,role_heavy,machado_k_rounds,False,True,2.929839058387214,0.7391327960007238,0.6668368205689983,0.7736053230317225,0.10676850246272418,16,16,1,1,,,,,,,,,,,,,,,,240,4,22.903184678001708
ex-240-all-all,participants_240-projects_a-weights_role_heavy,240,a,role_heavy,thesis_no_li,False,True,3.477741440885245,0.8769712971776047,0.824635208768484,0.9452102000691778,0.12057499130069382,16,16,1,1,,,,,,,,,,,,,,,,240,4,22.903184678001708
ex-240-all-all,participants_240-projects_a-weights_role_heavy,240,a,role_heavy,machado_k_rounds_li,False,True,3.687404870305508,0.9250694918926825,0.901151591637421,0.9526439806983085,0.05149238906088749,16,16,1,1,,,,,,,,,,,,,,,,240,4,22.903184678001708
