batch_id,run_id,participant_set,project_set,weight_profile,participant_count,project_count,required_slots,available_candidates,main_method,main_feasible,main_objective_score,main_mean_team_score,main_min_team_score,main_max_team_score,main_fairness_deviation,local_improvement_gain,accepted_swaps,accepted_replacements,best_by_objective,best_by_min_team_score,best_by_fairness,total_runtime_seconds,load_inputs_seconds,normalize_inputs_seconds,score_seconds,allocate_and_improve_seconds,compare_baselines_seconds,export_run_outputs_seconds,saved_run_dir
ex-240-all-all,participants_240-projects_a-weights_balance_heavy,240,a,balance_heavy,240,4,16,240,thesis,True,3.5483246353767584,0.8944544668483602,0.8338815789473685,0.9518545070140979,0.11797292806672943,0.024852166066104076,0,7,machado_k_rounds_li,machado_k_rounds_li,machado_k_rounds_li,24.217448692003018,0.0027701800008799182,0.017320472999927006,0.0051697939998121,7.00285243000144,17.18518407100055,0.0040740550011832966,runs/batches/ex-240-all-all/runs/participants_240-projects_a-weights_balance_heavy
ex-240-all-all,participants_240-projects_a-weights_default,240,a,default,240,4,16,240,thesis,True,3.576840939881124,0.9016575561323463,0.8226315789473685,0.9417887175404137,0.11915713859304522,0.12487520294313281,0,12,machado_k_rounds_li,machado_k_rounds_li,machado_k_rounds_li,25.725408120000793,0.0016374919996451354,0.017479031999755534,0.0045794699999532895,11.13812799400148,14.557590976999563,0.005930245999479666,runs/batches/ex-240-all-all/runs/participants_240-projects_a-weights_default
ex-240-all-all,participants_240-projects_a-weights_role_heavy,240,a,role_heavy,240,4,16,240,thesis,True,3.6218049797562255,0.9127752108379639,0.8354605263157895,0.9526439806983085,0.11718345438251898,0.14406353887098033,0,13,machado_k_rounds_li,machado_k_rounds_li,machado_k_rounds_li,22.903184678001708,0.0015963730002113152,0.01782794000064314,0.005562369999097427,12.153782389999833,10.72115741900052,0.0031972960005077766,runs/batches/ex-240-all-all/runs/participants_240-projects_a-weights_role_heavy
ex-240-all-all,participants_240-projects_a-weights_skill_heavy,240,a,skill_heavy,240,4,16,240,thesis,True,3.5385843609337555,0.892200319290241,0.8103289473684211,0.9311966122772558,0.12086766490883472,0.12768133818135796,1,11,machado_k_rounds_li,machado_k_rounds_li,machado_k_rounds_li,29.96584587599682,0.0015355239993368741,0.01738312199995562,0.004295712999009993,11.581047246998423,18.35806662899995,0.0034569019990158267,runs/batches/ex-240-all-all/runs/participants_240-projects_a-weights_skill_heavy
ex-240-all-all,participants_240-projects_b-weights_balance_heavy,240,b,balance_heavy,240,4,16,240,thesis,True,3.6041566022003395,0.9057481966818284,0.871318626510264,0.94666336461816,0.07534473810789599,0.05900536774344323,0,11,thesis,thesis,machado_k_rounds_li,31.561817529998734,0.0035730810013774317,0.018059525998978643,0.00454014999922947,10.194995066000047,21.337111955999717,0.0034643420003703795,runs/batches/ex-240-all-all/runs/participants_240-projects_b-weights_balance_heavy
ex-240-all-all,participants_240-projects_b-weights_default,240,b,default,240,4,16,240,thesis,True,3.5805882855196,0.899882020732448,0.8680094381352862,0.9437686277760547,0.07575918964076855,0.05530441655266438,0,6,machado_k_rounds_li,thesis,greedy_fit,24.83066471300117,0.0015946629991958616,0.01755290000073728,0.004333883000072092,6.1155923349997465,18.68845058700026,0.003060336999624269,runs/batches/ex-240-all-all/runs/participants_240-projects_b-weights_default
ex-240-all-all,participants_240-projects_b-weights_role_heavy,240,b,role_heavy,240,4,16,240,thesis,True,3.623597391674023,0.9106824072081441,0.8784238896681588,0.9549528383023705,0.07652894863421178,0.07697395294151033,0,8,thesis,thesis,thesis,27.1954032859976,0.0015176339984463993,0.01760261999879731,0.00471906900020258,7.593694027000311,19.574527020999085,0.0032841949996509356,runs/batches/ex-240-all-all/runs/participants_240-projects_b-weights_role_heavy
ex-240-all-all,participants_240-projects_b-weights_skill_heavy,240,b,skill_heavy,240,4,16,240,thesis,True,3.552377559841769,0.8930880946293114,0.8614962802405494,0.9413955549424556,0.07989927470190628,0.0909423750853593,0,7,thesis,thesis,greedy_fit,24.440289952997773,0.001552053001432796,0.017339242998787086,0.004364871998404851,7.1645761740001035,17.249224414999844,0.003172405999066541,runs/batches/ex-240-all-all/runs/participants_240-projects_b-weights_skill_heavy
ex-240-all-all,participants_240-projects_c-weights_balance_heavy,240,c,balance_heavy,240,5,19,240,thesis,True,4.119786264466417,0.8322906343753004,0.7276251897930781,0.8942928194334197,0.16666762964034154,0.17509575301733982,1,9,machado_k_rounds_li,thesis,thesis_no_li,31.523035610996885,0.0018950110006699106,0.017972985999222146,0.006048844999895664,13.336348676999478,18.15470234699933,0.005994194998493185,runs/batches/ex-240-all-all/runs/participants_240-projects_c-weights_balance_heavy
ex-240-all-all,participants_240-projects_c-weights_default,240,c,default,240,5,19,240,thesis,True,4.131981061275599,0.837156354773041,0.7159585231264114,0.9311613734848312,0.2152028503584198,0.20577529678344497,1,12,machado_k_rounds_li,thesis,thesis_no_li,38.20919004499774,0.0015912629987724358,0.017916176999278832,0.005968456000118749,17.876666468999247,20.301317901999937,0.0056684190003579715,runs/batches/ex-240-all-all/runs/participants_240-projects_c-weights_default
ex-240-all-all,participants_240-projects_c-weights_role_heavy,240,c,role_heavy,240,5,19,240,thesis,True,4.198205879928071,0.8503410114859913,0.7286778213720254,0.942674531379568,0.2139967100075426,0.2371969895829138,0,19,thesis,thesis,thesis_no_li,47.61138801499692,0.0015837129994906718,0.017548210998938885,0.005912554999667918,24.628381029000593,22.95078217399896,0.007119732999854023,runs/batches/ex-240-all-all/runs/participants_240-projects_c-weights_role_heavy
ex-240-all-all,participants_240-projects_c-weights_skill_heavy,240,c,skill_heavy,240,5,19,240,thesis,True,4.0922441822923545,0.8292769614325323,0.704467295056236,0.9210297945374628,0.21656249948122686,0.13392102565260044,1,10,machado_k_rounds_li,thesis,thesis_no_li,35.33309189800093,0.0016625120006210636,0.018378630000370322,0.005655578999721911,15.157159266000235,20.144358493000254,0.005815878999783308,runs/batches/ex-240-all-all/runs/participants_240-projects_c-weights_skill_heavy
